image_path,width,height,area
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10026.jpg,250,250,62500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10042.jpg,153,202,30906
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10074.jpg,500,375,187500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10110.jpg,640,511,327040
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10159.jpg,275,287,78925
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10211.jpg,640,480,307200
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10251.jpg,500,375,187500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10293.jpg,500,375,187500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10320.jpg,590,480,283200
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10361.jpg,500,375,187500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10382.jpg,226,169,38194
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10444.jpg,200,173,34600
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10470.jpg,1010,758,765580
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10514.jpg,640,480,307200
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10542.jpg,250,166,41500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10555.jpg,210,314,65940
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10604.jpg,300,438,131400
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10667.jpg,400,300,120000
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10726.jpg,275,246,67650
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10744.jpg,500,309,154500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10787.jpg,1489,722,1075058
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10845.jpg,500,374,187000
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_1091.jpg,500,375,187500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_10995.jpg,500,375,187500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_11063.jpg,250,166,41500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_11145.jpg,325,321,104325
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_11190.jpg,400,533,213200
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_11281.jpg,250,188,47000
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_11339.jpg,500,377,188500
imagenet-1k-wds-subset0-base/train/n01440764/n01440764_11396.jpg,235,140,32900
