image_path,width,height,area
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10194.png,1600,1200,1920000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10066.png,2400,2128,5107200
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10040.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_1024.png,4000,2664,10656000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10427.png,1440,1128,1624320
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10342.png,4000,1872,7488000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10464.png,2400,1488,3571200
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_105.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10592.png,1456,2176,3168256
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10534.png,4800,3600,17280000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10649.png,1624,1216,1974784
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10716.png,2560,2264,5795840
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10740.png,1984,1544,3063296
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10822.png,4800,3600,17280000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10878.png,4000,2696,10784000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10979.png,1920,1440,2764800
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_1113.png,4000,3128,12512000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_11170.png,4000,2664,10656000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_11335.png,1920,1440,2764800
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_11225.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_11350.png,4000,2656,10624000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_11420.png,3200,2400,7680000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_11469.png,2560,1920,4915200
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_11537.png,6144,3200,19660800
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10290.png,3840,2874,11036160
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10380.png,4602,3444,15849288
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10550.png,4800,3540,16992000
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_11044.png,3600,3462,12463200
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10108.png,2772,3200,8870400
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10150.png,3600,3072,11059200
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10319.png,3776,2832,10693632
imagenet-1k-wds-subset3-super/train/n01440764/n01440764_10783.png,3710,4096,15196160
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10034.png,4000,2600,10400000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10086.png,4000,2680,10720000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10107.png,2664,4000,10656000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10176.png,4000,2664,10656000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10255.png,3000,4000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10408.png,3072,2304,7077888
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10482.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10562.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10625.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10712.png,4000,2664,10656000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10782.png,3000,4000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10795.png,4000,2664,10656000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_10958.png,2960,4000,11840000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11078.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11138.png,4000,2680,10720000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11207.png,4000,3064,12256000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11251.png,4000,2800,11200000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11300.png,4000,2896,11584000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11349.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11451.png,4000,2664,10656000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11513.png,2672,4000,10688000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11648.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11688.png,3000,4000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11730.png,3248,4000,12992000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11816.png,4000,3136,12544000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_11932.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_12040.png,4000,2664,10656000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_12079.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_12138.png,4000,2992,11968000
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_1103.png,2802,2754,7716708
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_12193.png,3840,2880,11059200
imagenet-1k-wds-subset3-super/train/n01443537/n01443537_1029.jpg,2816,2112,5947392
imagenet-1k-wds-subset3-super/train/n01484850/n01484850_10085.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01484850/n01484850_10160.png,4000,2624,10496000
imagenet-1k-wds-subset3-super/train/n01484850/n01484850_10385.png,4000,2664,10656000
imagenet-1k-wds-subset3-super/train/n01484850/n01484850_1070.png,4000,2664,10656000
imagenet-1k-wds-subset3-super/train/n01484850/n01484850_10798.png,4000,2664,10656000
imagenet-1k-wds-subset3-super/train/n01484850/n01484850_10982.png,4000,3000,12000000
imagenet-1k-wds-subset3-super/train/n01484850/n01484850_11150.png,4000,2704,10816000
